Пълен код на секция,Брой преференции,Име на кандидат,Име на партия,Име на административна единица,ЕКАТТЕ,Име на Населено място,Флаг машинно гласуване
062700010,14,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,47714,гр. Мездра,1
062700011,14,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,47714,гр. Мездра,0
062700003,14,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,47714,гр. Мездра,0
062700001,14,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,47714,гр. Мездра,1
061000105,14,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,12749,с. Върбица,0
061000077,14,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,12259,гр. Враца,1
234617012,14,Александър Йорданов Александров,ПП ГЕРБ,23. СОФИЯ 23 МИР,97029,"гр. София,Кв. Драгалевци",0
234610001,13,Александър Йорданов Александров,ПП ГЕРБ,23. СОФИЯ 23 МИР,68134,гр. София,1
260700038,13,Александър Йорданов Александров,ПП ГЕРБ,26. СОФИЙСКА област,18143,с. Гурково,0
244601038,13,Александър Йорданов Александров,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,0
244601004,13,Александър Йорданов Александров,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,1
132100010,13,Александър Йорданов Александров,ПП ГЕРБ,13. ПАЗАРДЖИК,56277,гр. Пещера,0
143200077,13,Александър Йорданов Александров,ПП ГЕРБ,14. ПЕРНИК,55871,гр. Перник,1
062700035,13,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,54506,с. Очиндол,0
062800006,13,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,11853,с. Войводово,0
063100006,13,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,54020,гр. Оряхово,1
131900186,13,Александър Йорданов Александров,ПП ГЕРБ,13. ПАЗАРДЖИК,66559,с. Синитово,0
040600076,13,Александър Йорданов Александров,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,23100,с. Драганово,0
063100010,12,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,70723,с. Селановци,1
062700006,12,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,47714,гр. Мездра,0
062700013,12,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,47714,гр. Мездра,1
061000081,12,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,80311,с. Челопек,0
244604044,12,Александър Йорданов Александров,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,1
234602019,12,Александър Йорданов Александров,ПП ГЕРБ,23. СОФИЯ 23 МИР,68134,гр. София,0
244601014,11,Александър Йорданов Александров,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,0
244606060,11,Александър Йорданов Александров,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,0
061000078,11,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,12259,гр. Враца,0
061000058,11,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,12259,гр. Враца,0
062700031,11,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,44759,с. Лютидол,0
062100007,11,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,14390,с. Галатин,1
061000009,11,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,12259,гр. Враца,0
062700038,11,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,62390,с. Ребърково,0
062800008,10,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,40200,с. Крушовица,0
063100002,10,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,54020,гр. Оряхово,1
063100024,10,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,43400,с. Лесковец,1
